1	https://www.sciencedirect.com/science/article/pii/S0040403901954292
2	https://pubs.rsc.org/en/content/articlelanding/1979/c3/c39790000866
3	https://pubmed.ncbi.nlm.nih.gov/26673267/
4	https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/ejoc.201200914
5	https://pubmed.ncbi.nlm.nih.gov/24828188/
6	https://www.springer.com/gp/book/9783319497839
7	https://pubs.rsc.org/en/content/articlelanding/2013/cs/c3cs35521g
8	http://pubs.acs.org/doi/abs/10.1021/acs.joc.6b01627
9	https://www.mdpi.com/1420-3049/20/5/7528
10	https://pubs.acs.org/doi/abs/10.1021/jo202151f
11	https://europepmc.org/article/med/22848024
12	https://pubs.rsc.org/en/content/articlelanding/2014/cc/c4cc00688g
13	https://books.google.com/books?id=roG0DwAAQBAJ&pg=PA612&lpg=PA612&dq=Dong,+L.;+Wen,+J.;+Qin,+S.;+Yang,+N.;+Yang,+H.;+Su,+Z.;+Yu,+X.;+Hu,+C.+ACS+Catal.+2012,+2,+1829.&source=bl&ots=H1cURYMxkG&sig=ACfU3U251JONRZLr054etP5vOH7DEnhMgw&hl=en&sa=X&ved=2ahUKEwjUqJe3habtAhUEKqwKHcOLAJMQ6AEwAHoECAIQAg
14	https://books.google.com/books?id=ejqgDQAAQBAJ&pg=PA337&lpg=PA337&dq=Hatakeyama,+T.;+Hashimoto,+T.;+Kondo,+Y.;+Fujiwara,+Y.;+Seike,+H.;+Takaya,+H.;+Tamada,+Y.;+Ono,+T.;&source=bl&ots=L_v63uo-kB&sig=ACfU3U3-qdexutikNJ1LeF_MRHgrgLT3xw&hl=en&sa=X&ved=2ahUKEwjJrPm4habtAhVhGFkFHROjCssQ6AEwAXoECAIQAg
15	https://www.longdom.org/open-access/cufecatalyzed-carboncarbon-and-carbonheteroatom-crosscoupling-reactions-2161-0401.1000130.pdf
16	https://pubs.acs.org/doi/abs/10.1021/jo7015604
17	https://www.researchgate.net/publication/244189163_Highly_efficient_copper0-catalyzed_Suzuki-Miyaura_cross-coupling_reactions_in_reusable_PEG-400
18	https://pubs.acs.org/doi/abs/10.1021/ol500310u
19	https://pubs.rsc.org/en/content/articlelanding/2016/cc/c6cc05114f
20	http://pubs.acs.org/doi/abs/10.1021/ja906477r?ai=1jm&af=R
21	https://pubs.acs.org/doi/10.1021/ol401021x
22	https://pubs.acs.org/doi/abs/10.1021/acscatal.6b03434
23	https://pubmed.ncbi.nlm.nih.gov/19243177/
